	Command	Key	Touch Bar
	Default Syncopation		
	Force Syncopation	⌃⇧Y	
	Defeat Syncopation	⌃Y	
	Default Interpretation		
	Force Interpretation	⌃⇧I	
	Defeat Interpretation	⌃I	
	Fix Displayed Note Positions		
	Fix Displayed Note Positions and Durations		
	Stems: default		
	Stems: up	⌃⌥↑	
	Stems: down	⌃⌥↓	
	Stems: hide		
	Stem Position: Default		
	Stem Position: Center		
	Stem Position: Automatic		
	Stem Position: Side		
	Stem End: Default Length		
	Stem End: Move Up	⌥⌘↑	
	Stem End: Move Down	⌥⌘↓	
	Voice/Staff Assignment: default		
	Voice/Staff Assignment: staff above voice		
	Voice/Staff Assignment: staff below voice		
	Ties: default		
	Ties: up	⌃⌥⇧↑	
	Ties: down	⌃⌥⇧↓	
	Beam Selected Notes	⌃B	
	Unbeam Selected Notes	⌃U	
	Default Beams	⌃D	
	Not Independent		
	Independent		
	Independent Grace		
	Default Accidentals		
	Enharmonic Shift: #	⇧3	
	Enharmonic Shift: b	⇧B	
	Flats to Sharps		
	Sharps to Flats		
	Force Accidental		
	Hide Accidental		
	Guide Accidental		
	Force Accidental (only flats & sharps)		
	Reset Note Attributes	⌃⇧⌫	
	Reset Line Layout		
	Align Object Positions Vertically		
	Align Object Positions Horizontally		
	Align Object Positions		
	Assign MIDI Channels based on Score Split	⌃⇧C	
	Nudge Position Up	⌃⌥⌘↑	
	Nudge Position Down	⌃⌥⌘↓	
	Nudge Position Left	⌃⌥⌘←	
	Nudge Position Right	⌃⌥⌘→	
	Settings: Global Format	⌃⌥⇧F	
	Settings: Numbers and Names	⌃⌥⇧N	
	Settings: Guitar Tablature	⌃⌥⇧G	
	Settings: Chords and Grids	⌃⌥⇧C	
	Settings: Clefs and Signatures	⌃⌥⇧L	
	Settings: Extended Layout	⌃⌥⇧X	
	Settings: MIDI Meaning	⌃⌥⇧M	
	Settings: Score Colors	⌃⌥⇧O	
	Create Score Set from Selection		
	Part Box: 1/1 Note		
	Part Box: 1/2 Note		
	Part Box: 1/4 Note		
	Part Box: 1/8 Note		
	Part Box: 1/16 Note		
	Part Box: 1/32 Note		
	Next Part Box Symbol		
	Previous Part Box Symbol		
	Next Part Box Group		
	Previous Part Box Group		
	Attach Symbol: Fermata Up		
	Attach Symbol: Fermata Down		
	Attach Symbol: Staccato		
	Attach Symbol: Staccatissimo		
	Attach Symbol: Accent		
	Attach Symbol: Strong Accent		
	Attach Symbol: Long Accent		
	Attach Symbol: Tenuto		
	Attach Symbol: Up-Bow		
	Attach Symbol: Down-Bow		
	Attach Symbol: Flageolet		
	Attach Symbol: Pizzicato		
	Attach Symbol: Left Hand		
	Attach Symbol: Right Hand		
	Attach Symbol: Soft		
	Attach Symbol: Heavy		
	Attach Symbol: Jazz 1		
	Attach Symbol: Jazz 2		
	Attach Symbol: Jazz 3		
	Attach Symbol: Jazz 4		
	Attach Symbol: Jazz 5		
	Attach Symbol: Jazz 6		
	Insert: Slur Up		
	Insert: Slur Down		
	Insert: Crescendo	⌃⇧,	
	Insert: Decrescendo	⌃⇧.	
	Clear main finger	⌃⌥⇧⌫	
	Set main finger 1	⌃⌥⇧1	
	Set main finger 2	⌃⌥⇧2	
	Set main finger 3	⌃⌥⇧3	
	Set main finger 4	⌃⌥⇧4	
	Set main finger 5	⌃⌥⇧5	
	Clear pick finger		
	Set pick finger P		
	Set pick finger I		
	Set pick finger M		
	Set pick finger A		
	Set pick finger C		
	Convert Auto Slur		
	Reset Auto Slur		
	Slur Auto Direction		
	Auto Slur Above		
	Auto Slur Below		
	Slur Last Note		
	Slurs for non-contiguous selected notes		
	Duplicate Staff Style		
	Open Staff Style Window		

- Event Editor
	Select Previous Event	↑	
	Select Next Event	↓	
	Length as Absolute Position	⌃⇧A	
	Articulation	⌃⇧D	
	Relative Position	⌃⇧R	
	Numerical Edit of Event Position		
	Duplicate Event and Numerical Edit	⌘D	
	Copy Value to All Following Events	⇧V	
	Create Event		

- Step Editor
	Create Lane Set		
	Create Lane Set for GM Drums		
	Create Lane Set for Current Events		
	Clear Lane Set		
	Create Lane	⌥⌘N	
	Delete Lane	⌘⌫	
	Create Multiple Lanes…		
	Convert Lane…		
	Copy Lane	⌃C	
	Paste Lane	⌃V	
	Select All Lanes		
	Toggle Fix Value		
	Toggle Auto Define	⌃A	
	Select Next Lane	↓	
	Select Previous Lane	↑	
	Delete Lane Set		

- Step Sequencer
	Show/Hide Pattern Browser	⌥⇧B	
	Repeat Step	⌘R	
	Copy Row	⌃C	
	Paste Row	⌃V	
	Paste Steps		
	Paste Row Settings	⌃⌥⇧V	
	Paste to New Row	⌃⇧V	
	Duplicate Row with Next Assignment	⌘D	
	Delete Row	⇧⌘⌫	
	Delete Unused Rows		
	Clear Step		
	Clear Row	⌘⌫	
	Clear Pattern	⌃⇧⌘⌫	
	Learn (Add)	⌥⌘L	
	Learn (Assign)		
	Store as Default Pattern Template		
	Revert to Default Pattern Template	⌃⌥⇧D	
	Transpose +1 Semitone	⌥↑	
	Transpose -1 Semitone	⌥↓	
	Transpose +1 Octave	⌥⇧↑	
	Transpose -1 Octave	⌥⇧↓	
	Transpose to Project Key		
	Clear Current Edit Mode Values for Row	⌥⌘⌫	
	Clear Current Edit Mode Values for All Rows	⌃⌥⌘⌫	
	Clear Current Edit Mode Values for All Note Rows		
	Clear Current Edit Mode Values for All Automation Rows		
	Randomize Current Edit Mode Values for Row	⌥⌘R	
	Randomize Current Edit Mode Values for All Rows	⇧⌘R	
	Randomize Current Edit Mode Values for All Note Rows		
	Randomize Current Edit Mode Values for All Automation Rows		
	Set Step Color by Region Color		
	Set Step Color by Row Color		
	Select Step Above	↑	
	Select Step Below	↓	
	Select Previous Step	←	
	Select Next Step	→	
	Live Record	⇧R	
	Mono Mode	⌃⇧⌘M	
	Rename Row	⇧↩	
	Select Next Pattern Page	⌥`	
	Save Pattern	⇧⌘P	
	Save Template	⇧⌘T	
	Set Pattern Playback Mode to Forward	⌃⌥]	
	Set Pattern Playback Mode to Reverse	⌃⌥[	
	Set Pattern Playback Mode to Ping Pong	⌃⌥P	
	Set Pattern Playback Mode to Random	⌃⌥\	
	Rotate Pattern Right	⌃⌥⌘→	
	Rotate Pattern Left	⌃⌥⌘←	
	Solo Row		
	Mute Row		
	Set Row Playback Mode to Forward	⌃]	
	Set Row Playback Mode to Reverse	⌃[	
	Set Row Playback Mode to Ping Pong	⌃P	
	Set Row Playback Mode to Random	⌃\	
	Rotate Row Right	⇧⌘→	
	Rotate Row Left	⇧⌘←	
	Rotate Values for Current Edit Mode Right	⌘→	
	Rotate Values for Current Edit Mode Left	⌘←	
	Increment Loop Start for Row	⌃⌥=	
	Decrement Loop Start for Row	⌃⌥-	
	Increment Loop End for Row	⌥⌘=	
	Decrement Loop End for Row	⌥⌘-	
	Show Subrows for Row	⌃⌘→	
	Hide Subrows for Row	⌃⌘←	
	Show Subrows for All Rows	⌃⇧⌘→	
	Hide Subrows for All Rows	⌃⇧⌘←	
	Toggle Selected Step	U	
	Set Global Edit Mode to Steps On/Off	⌃⌥S	
	Set Global Edit Mode to Velocity/Value	⌃⌥V	
	Set Global Edit Mode to Gate	⌃⌥G	
	Set Global Edit Mode to Tie	⌃⌥T	
	Set Global Edit Mode to Note	⌃⌥N	
	Set Global Edit Mode to Octave	⌃⌥O	
	Set Global Edit Mode to Loop Start/End	⌃⌥L	
	Set Global Edit Mode to Note Repeat	⌃⌥R	
	Set Global Edit Mode to Chance	⌃⌥C	
	Set Global Edit Mode to Start Offset	⌃⌥F	
	Set Global Edit Mode to Step Rate	⌃⌥A	
	Set Global Edit Mode to Skip	⌃⌥K	
	Increment Current Edit Mode Values for Row	⇧⌘↑	
	Decrement Current Edit Mode Values for Row	⇧⌘↓	
	Increment Pattern Step Rate		
	Decrement Pattern Step Rate		
	Increment Row Step Rate		
	Decrement Row Step Rate		

- Project Audio
	Select Previous Audio File	↑	
	Select Next Audio File	↓	
	Show Audio File Details		
	Hide Audio File Details		
	Rename…	⇧↩	
	Add Audio File…	⌃F	
	Add Region	⌃R	
	Delete Files	⌘⌫	
	Optimize Files…	⌃O	
	Backup Files	⌃B	
	Copy/Convert Files…	⌃K	
	Move Files out of Project		
	Select Used		
	Select Unused	⇧U	
	Show All Regions	⌥↓	
	Hide All Regions	⌥↑	
	Import Region Information	⌃I	
	Export Region Information	⌃E	
	Create Group…	⌃G	
	Delete Selected Audio File Groups		

- Audio File Editor
	Play/Stop All	⌃⌥⌘˽	
	Play/Stop Region	⌃⇧˽	
	Play/Stop Region to Anchor	⌃⇧←	
	Play/Stop Region from Anchor	⌃⇧→	
	Create Backup	⌃B	
	Revert to Backup	⌃⌥⌘B	
	Save A Copy of Audio File As…		
	Save Selection As…	⌥⌘S	
	Region -> Selection	⇞	
	Selection -> Region	⇟	
	Sample Loop -> Selection		
	Selection -> Sample Loop		
	Go to Region Start		
	Go to Region End	⌃⌥→	
	Go to Region Anchor	⌃⌥↓	
	Go to Previous Transient	⌥←	
	Go to Next Transient	⌥→	
	Set Selection Start To Previous Transient	⇧←	
	Set Selection Start To Next Transients	⇧→	
	Set Selection End To Previous Transient	←	
	Set Selection End To Next Transient	→	
	Selection Start and End to Previous Transient	⇧⌘←	
	Selection Start and End to Next Transient	⇧⌘→	
	Selection Start and End to Previous Transient and Play	⌥⌘←	
	Selection Start and End to Next Transient and Play	⌥⌘→	
	Set Region Anchor to Previous Transient		
	Set Region Anchor to Next Transient		
	Set Region Anchor to Playhead		
	Set Region Anchor to Region Start		
	Toggle Transient Editing Mode	⌃T	
	Increase Number of Transients	⌃=	
	Decrease Number of Transients	⌃-	
	Detect Transients of Audio File		
	Select All Previous Samples	⌃⌥⇧←	
	Select All Following Samples	⌃⌥⇧→	
	Create New Region	⌃R	
	Normalize	⌃N	
	Change Gain…	⌃G	
	Fade-In	⌃I	
	Fade-Out	⌃O	
	Silence	⌃⌫	
	Invert	⌃⇧I	
	Reverse	⇧G	
	Trim	⌃⇧T	
	Remove DC Offset	⌃D	
	Time and Pitch Machine…	⌃P	
	Search Peak	⇧P	
	Search Silence	⇧S	
	Samples		
	Min:Sec:Ms		
	SMPTE Time		
	Bars/Beats		
	Amplitude Percentage		
	Amplitude Sample Value		
	Lock Position in Track when moving Anchor	⌃A	

- Smart Tempo Editor
	Tap Tempo - Smart Tempo Editor	T	
	Tap Tempo (Downbeat)	D	
	Toggle Metronome Click - Smart Tempo Editor	M	
	Scroll Left	←	
	Scroll Right	→	
	Select from Start to Playhead	⇧←	
	Select from Playhead to End	⇧→	
	Zoom All	↑	
	Center around Playhead	↓	
	Half Tempo	5	
	Double Tempo	2	
	Set Average Tempo for Selection	A	
	Set Average Tempo within each Bar		
	Extend First Tempo in Selection to Beginning	⌥←	
	Extend Last Tempo in Selection to End	⌥→	
	Set Downbeat to Playhead Position	⌃D	
	Trim Region To Selection		
	Forward by Bar		
	Rewind by Bar		
	Forward by Beat		
	Rewind by Beat		
	Forward 8 Bars		
	Rewind 8 Bars		
	Snap To Transients		
	Maintain Time Positions of All Regions		
	Apply Region Tempo to Project Tempo		
	Apply Project Tempo to Region and Downbeat		
	Analyze Tempo		
	Clear Hints		
	Remove Tempo Information		
	Revert to Original Recording Tempo		
	Revert Changes		

- Library
	Search Sounds		
	Save…	⌥S	
	Revert		
	Enable Patch Merging		

- Sampler
	Load or Replace Audio File…	⌃F	
	New Zone	⌃Z	
	New Group	⌃G	
	Toggle Keyboard/Group/Zone View	⌥V	
	Switch to Keyboard View		
	Switch to Group View		
	Switch to Zone View		
	Show all List Columns		
	Restore Default List Columns		
	Shift selected Zones/Groups Left	⌥←	
	Shift selected Zones/Groups Right	⌥→	
	Shift selected Zones/Groups Left (Zones incl. Root Key)	⌥⇧←	
	Shift selected Zones/Groups Right (Zones incl. Root Key)	⌥⇧→	
	Load Multiple Audio Files…	⌃O	
	Open in Audio File Editor	⌃W	
	Select Zone of Last Played Key		
	New Mapping	⌥⌘N	
	Duplicate Group	⌘D	
	Crop Sample	⌥⌘X	
	Crop Loop	⌥⇧⌘X	
	Toggle Snap mode	⌘G	
	Vertical Autozoom	⌃⌥⇧Z	
	Horizontal Autozoom	⌃⌥Z	
	Automap using Current Root Note	⌃⇧E	
	Automap using Root Note from Audio File Names		
	Remap All Notes		
	Remap Evenly		
	Remap Notes…		
	Remap To Root Notes		
	Fill Gaps		
	Fill Gaps (Notes Only)		
	Fill Gaps (Vel Only)		
	Swap Zones		
	Always Move Root Key with Zone		
	Preview Selected Zone	⌥˽	

- Drum Machine Designer
	Select Next Pad		
	Select Previous Pad		
	Preview Pad		
	Mute Pad		
	Solo Pad		
	Resample Pad		
	Assign To Exclusive Group: Off		
	Assign To Exclusive Group: 1		
	Assign To Exclusive Group: 2		
	Assign To Exclusive Group: 3		
	Assign To Exclusive Group: 4		
	Assign To Exclusive Group: 5		
	Assign To Exclusive Group: 6		
	Assign To Exclusive Group: 7		
	Assign To Exclusive Group: 8		
	Clear Pad		

- Step Input Keyboard
	Note “C”	A	
	Note “C#”	W	
	Note “D”	S	
	Note “D#”	E	
	Note “E”	D	
	Note “F”	F	
	Note “F#”	T	
	Note “G”	G	
	Note “G#”	Y	
	Note “A”	H	
	Note “A#”	U	
	Note “B”	J	
	Rest	˽	
	Next note will be sharp	⇧3	
	Next note will be flat	⇧B	
	Chord Mode	`	
	Delete - Step Input	⌃⌫	
	Step Backwards	←	
	Step Forward	→	
	Octave 0		
	Octave 1		
	Octave 2		
	Octave 3		
	Octave 4		
	Octave 5		
	Octave 6		
	Octave - 2	⇧Z	
	Octave - 1	Z	
	Octave + 1	X	
	Octave + 2	⇧X	
	1/1 Note	1	
	1/2 Note	2	
	1/4 Note	3	
	1/8 Note	4	
	1/16 Note	5	
	1/32 Note	6	
	1/64 Note	7	
	1/128 Note	8	
	Triplets On/Off	9	
	Dotted note values On/Off	0	
	Velocity 16 (ppp)		
	Velocity 32 (pp)		
	Velocity 48 (p)		
	Velocity 64 (mp)		
	Velocity 80 (mf)		
	Velocity 96 (f)		
	Velocity 112 (ff)		
	Velocity 127 (fff)		
	Quantize note starts On/Off	Q	

- Smart Controls
	Toggle Track Master View		
	Cycle Through Routing Destination Views		
	Cycle Through Subviews	⌃⇧O	
	Add Mapping		
	Learn Parameter Mapping		
	Learn External Assignment		

- Tool Menu
	Pencil Tool	⌥P	
	Eraser Tool	⌥E	
	Scissors Tool	⌥I	
	Join Tool	⌥J	
	Finger Tool	⌥F	
	Text Tool	⌥T	
	Zoom Tool	⌥Y	
	Solo Tool	⌥S	
	Mute Tool	⌥M	
	Quantize Tool	⌥Q	
	Velocity Tool	⌥V	
	Automation Select Tool	⌥U	
	Automation Curve Tool	⌥W	
	Fade Tool	⌥A	
	Marquee Tool	⌥R	
	Flex Tool	⌥X	
	Flex Pitch Vibrato Tool		
	Flex Pitch Velocity Tool		
	Brush Tool		
	Layout Tool		
	Voice Separation Tool		
	Resize Tool		
	Camera Tool		
	Crosshair Tool		
	MIDI Thru Tool		
	Move Tool		
	Gain Tool	G	
	Slip Tool		
	Rotate Tool		

- Control Surface Install Window
	Scan for Selected Models		
	Add Selected Models		

